Nestle_PS,Novartis_N,Roche_Holding,UBS_N
229766.9,222854.8,188075.9,63272.63
226542.1,243963.1,198895.3,64044.48
227025.8,241662.8,199316.9,64200.29
233959.1,253028.9,203321.5,60297.34
235249,249916.8,189621.5,63525.68
227187,243963.1,174657,57206.58
239925,263718.3,181823.2,62460.72
236700.1,260200.2,188357,68493.63
235087.8,261553.3,189270.3,70512.5
235087.8,258329.8,194047.7,75597.25
215217,246684.9,184071.3,74537.81
233390.9,268770,196085.3,83634.19
227332.9,253511.2,185476.5,75289.56
233550.3,239323.1,180558.5,69321.13
241043.1,240527.8,188497.5,76136.44
243434.3,235441.5,193555.9,76024.13
237695.3,232362.9,194188.2,75141.94
239767.7,210143.9,185406.1,64790.94
223506.9,191806.5,180558.5,59056.09
229086.6,186586.4,166296.5,59634.77
227970.6,195955.9,170371.4,63911.16
234028.6,207279.3,183298.4,59138.33
233878.7,210563.2,179926.3,48397.19
241814.7,210957.3,173884.2,51400.95
243682,203338.6,168474.5,54750.94
238235.7,200711.5,169317.5,50939.7
223297.3,184948.8,159832.9,53905.32
212871.6,184554.8,159270.9,62261.37
227342.9,194669.2,163416,61419.68
225008.9,190334.4,163697,61496.69
231077.5,205965.8,171917,59574.11
239169.2,195325.9,179715.4,61732.29
238546.7,201105.6,182877,65471.28
257219.6,207515.8,186741.1,59311.68
259709.4,208824.2,171565.8,62552.14
254263.1,215627.9,172057.5,64787.37
253173.9,211702.7,171073.9,60863.08
252395.8,216936.4,173673.4,63754.36
261109.8,215104.6,161940.6,65413.04
262199.1,220338.3,174376,65454.61
260798.4,215627.9,173181.6,69117.69
250030.4,227456.1,161940.6,73998.69
234282.9,207149.4,154071.9,69638.75
235341,202177.4,153931.4,64729.74
238639.9,199979.3,153545,64000.53
236834.9,190276.6,151858.8,58741.35
235544.6,192011,154950.1,59070.71
249205.6,212211.9,171073.9,62232.33
249634.4,207671.8,170266,59477.69
250614.6,215272.7,167034.2,59749.17
255760.4,220271.9,164610.4,51716.42
260967.5,230474.4,178591.4,52604.56
244427.3,214354.4,171003.7,47170.19
262927.8,218486.5,180277.6,50026.82
